"","species","temperature","bio3","bio4","precipitation","bio15","bio17","elevation","nitrogen","carbon","ph","sand","coarsefragment","needleleaf","deciduousbroadleaf","herbaceous","aridity","nodulation","nodulationtype","subfamily"
"1","Abarema_adenophora"," 174.333000","57.0000","  247.333","1960.33000"," 20.33330","304.6670000","  61.33330","87"," 25.666700","28.3333","29.6667"," 0.000000"," 0.00000000"," 0.00000000"," 0.0000000","1.16591","Yes","Rhizobial","Caesalpinioideae"
"2","Abarema_alexandri"," 194.375000","60.8750","  843.375","1765.38000"," 41.50000","195.8750000"," 497.75000","194.75"," 48.250000","48.6250","23.6250"," 6.125000"," 0.00000000"," 1.12500000"," 0.0000000","1.36269","Yes","Rhizobial","Caesalpinioideae"
"3","Abarema_asplenifolia"," 168.000000","43.3333"," 1249.000"," 854.00000"," 42.00000"," 58.0000000","  81.66670","264.333"," 43.666700","41.0000","23.6667"," 6.000000"," 0.00000000"," 2.33333000"," 0.0000000","0.548232","Yes","Rhizobial","Caesalpinioideae"
"4","Abarema_auriculata"," 260.132000","77.7368","  508.026","2453.82000"," 34.36840","332.1840000"," 100.47400","117.765"," 49.763200","43.7105","44.0526"," 1.947370"," 0.00000000"," 0.00000000"," 0.5000000","1.48036","Yes","Rhizobial","Caesalpinioideae"
"5","Abarema_barbouriana"," 245.218000","81.7436","  495.263","3117.99000"," 42.35900","377.1860000"," 509.55800","214.076"," 66.224400","48.7821","43.8654"," 8.878210"," 0.08333330"," 0.44230800"," 2.3782100","1.84435","Yes","Rhizobial","Caesalpinioideae"
"6","Abarema_brachystachya"," 212.369000","55.0615"," 2239.290","1743.29000"," 49.18460","199.3850000"," 256.38500","81"," 45.676100","51.8169","51.4648"," 3.638890"," 0.00000000"," 5.06944000"," 1.3333300","0.825226","Yes","Rhizobial","Caesalpinioideae"
"7","Abarema_callejasii"," 189.714000","75.7143","  403.571","3257.36000"," 37.14290","377.7860000","1347.86000","327.2"," 69.714300","47.4286","36.2143"," 7.785710"," 0.00000000"," 0.00000000"," 4.9285700","1.81073","Yes","Rhizobial","Caesalpinioideae"
"8","Abarema_campestris"," 249.217000","73.7826","  491.522","2082.00000"," 59.43480","144.3040000","  87.73910","110.75"," 31.304300","45.1739","45.5217"," 3.217390"," 0.00000000"," 0.43478300"," 0.9130430","1.13126","Yes","Rhizobial","Caesalpinioideae"
"9","Abarema_cochleata"," 262.630000","81.1630","  454.772","2171.08000"," 66.08700","136.2830000","  78.07610","140.747"," 32.869600","47.6413","47.6739"," 2.326090"," 0.00000000"," 0.31182800"," 1.8064500","1.3619","Yes","Rhizobial","Caesalpinioideae"
"10","Abarema_commutata"," 177.000000","60.0000","  462.500","1633.25000"," 47.00000","147.0000000"," 442.25000","112.5"," 27.250000","36.0000","32.5000"," 8.250000"," 0.00000000"," 0.00000000"," 0.0000000","0.938287","Yes","Rhizobial","Caesalpinioideae"
"11","Abarema_curvicarpa"," 243.000000","73.8947","  480.421","2348.11000"," 42.68420","251.1580000"," 168.36800","187.1"," 36.368400","44.4211","41.2105"," 5.842110"," 0.00000000"," 0.00000000"," 0.0000000","1.52275","Yes","Rhizobial","Caesalpinioideae"
"12","Abarema_floribunda"," 258.686000","80.8627","  472.196","2548.67000"," 36.03920","349.3530000"," 227.23500","139.957"," 42.039200","44.8627","44.3922"," 2.254900"," 0.00000000"," 0.00000000"," 0.1764710","1.54065","Yes","Rhizobial","Caesalpinioideae"
"13","Abarema_glauca"," 206.111000","59.8889"," 1530.440","1149.11000"," 51.33330","101.0000000"," 316.77800","115"," 51.666700","56.2222","32.2222"," 7.888890"," 0.33333300"," 3.77778000"," 9.2222200","0.731576","Yes","Rhizobial","Caesalpinioideae"
