Species	Index
Begonia_leprosa	1.19536
Mimosa_skinneri_var_desmodioides	0.530661
Monnina_herzogii	0.816956
Lupinus_tarapacensis	0.0704095
Coussapoa_sprucei	1.31364
Sphenostylis_marginata	0.389485
Rhamnus_prostrata	0.393813
Erythrina_tajumulcensis	1.84136
Grona_harmsii	0.38561
Pygeum_sterrophyllum	0.710337
Daviesia_cunderdin	0.187523
Bauhinia_longipes	0.719801
Lupinus_reitzii	1.43296
Cliffortia_semiteres	0.250585
Lotononis_crumanina	0
Alchemilla_nivalis	1.04064
Ormosia_minor	1.03486
Sicyos_angulatus	0.968062
Rubus_feddei	1.12515
Lupinus_arenarius	0.962376
Mimosa_hamata	0.351084
Elatostema_atroviride	1.00591
Begonia_subciliata	0.84331
Sorocea_hilarii	1.03531
Lupinus_elatus	0.679287
Andira_taurotesticulata	1.66804
Vigna_o-wahuensis	0.419359
Mimosa_misera	0.526645
Cucumis_pubituberculatus	0.10952
Crotalaria_capuroni	0.436901
Erythrostemon_fimbriatus	0.443043
Acacia_sclerosperma	0.154856
Betula_lanata	1.30513
Acacia_asparagoides	0.935603
Albizia_harveyi	0.432727
Dorycnium_broussonetti	0.292887
Otholobium_mundianum	0.569068
Acacia_pseudo-intsia	0.576013
Humularia_welwitschii	0.678678
Gilbertiodendron_ngounyense	1.39012
Millettia_thonningii	0.660123
Dioclea_umbrina	1.26675
Castanea_alnifolia	0.508333
Pterodon_emarginatus	0.849471
Platymiscium_floribundum_var_obtusifolium	0.181294
Mucuna_curranii	1.55475
Eureiandra_formosa	0.88573
Dipteryx_lacunifera	0.683537
Sophora_albo-petiolulata	0.362309
Alchemilla_heptagona	1.02441
Senna_tapajozensis	1.19727
Spiraea_ovalis	0.74907
Nissolia_pringlei	0.274423
Karwinskia_johnstonii	0.416781
Alysicarpus_rugosus	0.487106
Cayaponia_capitata	1.37274
Ceanothus_impressus	0.460672
Vicia_villosa_subsp_varia	1.0784
Jacksonia_condensata	0.107868
Trema_bracteolata	0
Mimosa_guirocobensis	0.379583
Prosopis_rojasiana	0.369625
Cenostigma_macrophyllum	0.691904
Indigofera_pseudo-tinctoria	1.27943
Tadehagi_rodgeri	0.301893
Aspalathus_candicans	0.433604
Helicotropis_linearis	0.830977
Indigofera_gifbergensis	0.19508
Frangula_wendtii	0.542879
Harpalyce_macrocarpa	0.456609
Rubus_elongatus	1.80256
Mora_excelsa	1.25844
Ficus_asperula	1.60198
Lathyrus_lanszwertii	0.752565
Crotalaria_cistoides	0.612517
Boehmeria_australis	1.40642
Swartzia_cuspidata	1.50943
Sicyos_glaber	0.253016
Polygala_trifurcata	0.550721
Campsiandra_gomez-alvareziana	0.987568
Xanthophyllum_eberhardtii	0.427738
Stirtonanthus_chrysanthus	0.197098
Quercus_exaristata	0.243559
Cliffortia_recurvata	0.690663
Cojoba_arborea	0.698292
Crataegus_jesupi	0.54504
Rubus_insericatus	1.04212
Dimorphandra_cuprea	1.5767
Andira_inermis	1.31517
Drymocallis_ashlandica	0.715079
Daviesia_pachyloma	0.228661
Pseudolmedia_rigida	1.39055
Acacia_microbotrya	0.302613
Astragalus_cymbaecarpos	0.780223
Pentaphylloides_floribunda	0.692243
Potentilla_alba	1.16121
Genista_cinerascens	0.705686
Xiphotheca_fruticosa	0.484021
Stylosanthes_fruticosa	0.501619
Chamaecrista_desvauxii	0.897356
Quercus_galeanensis	0.316715
Rubus_indusiatus	1.24233
Lachemilla_verticillata	2.09948
Citrullus_colocynthis	0.164297
Dalbergia_stenophylla	1.08515
Cologania_broussonetii	0.34209
Laportea_mexicana	0.604057
Indigofera_byobiensis	1.39959
Sesbania_melanocaulis	0.785576
Vicia_dionysiensis	0.289392
Lonchocarpus_luteomaculatus	0.599716
Genista_patens	0.40783
Indigofera_sphaerocarpa	0.355687
Begonia_occhionii	0.492482
Crudia_acuminata	0.90805
Lupinus_westianus	1.00259
Desmodium_affine	0.631684
Ficus_vasta	0.487757
Begonia_barkleyana	0.539067
Vicia_nigricans	1.09097
Lachemilla_holosericea	1.4006
Rubus_solvensis	0.961341
Aphanocalyx_trapnellii	0.519427
Cordyla_densiflora	0.443867
Steinbachiella_leptoclada	0.600309
Ficus_cuatrecasana	1.12837
Craibia_brownii	0.694669
Ulmus_gaussenii	0.704524
Cliffortia_nitidula	0.70506
Amphithalea_obtusiloba	0.146368
Cynometra_hankei	1.17602
Ficus_cundinamarcensis	1.47026
Anila_tinctoria	0
Crotalaria_polysperma	0.534667
Indigofera_burttii	0.40507
Mimosa_onilahensis	0.322064
Cajanus_elongatus	0.394729
Acacia_enterocarpa	0.340334
Mimosa_ephedroides	0.152707
Ziziphus_oligantha	0.54966
Rubus_bollei	0.388353
Mimosa_adenophylla	0.446621
Acacia_truncata	0.483794
Medicago_ramosa	0
Rhynchosia_yunnanensis	0.503642
Rosa_×doniana	0.885878
Rhamnus_nakaharai	1.26934
Crataegus_spathulata	0.96666
Lupinus_duranii	0.445524
Senna_multijuga_subsp_doylei	1.07488
Marina_grammadenia	0.681626
Desmodium_nicaraguense	0.938439
Amorpha_apiculata	0.162728
Zornia_microphylla	0.93516
Acacia_juncifolia	0.875774
Cynometra_yokotai	1.50868
Vachellia_caven	0.321292
Begonia_atricha	1.66566
Pararchidendron_pruinosum	0.559712
Sanguisorba_moquiniana	0.125513
Indigofera_zollingeriana	1.71436
Pterocarpus_monophyllus	0.322645
Pilea_ceratocalyx	1.83548
Crotalaria_gnidioides	0.6823
Rubus_laevicaulis	1.03752
Crotalaria_goodiiformis	0.611653
Oxytropis_stenophylla	0.269866
Quercus_ajoensis	0.169322
Crotalaria_miottoae	1.26245
Gliricidia_brenningii	0.749654
Dioclea_latifolia	0.812423
Photinia_moiorum	0.885198
Calliandra_humilis_var_reticulata	0.336929
Poitea_florida	0.893316
Grona_ramosissima	0.853491
Machaerium_ovalifolium	0.816022
Adenanthera_microsperma	1.13873
Cercocarpus_breviflorus	0.33664
Archidendron_falcatum	0.914276
Genista_haensleri	0.231037
Dorstenia_holstii	0.848425
Prunus_grisea	1.90436
Lonchocarpus_hidalgensis	0.881584
Crotalaria_mortonii	0.614816
Cotoneaster_nitidus	0.90676
Coussapoa_rhamoides	0.765233
Tephrosia_pungens	0
Rubus_bellardi	0.537223
Rubus_gremlii	0.94248
Lupinus_elegans_var_elegans	0.722346
Senegalia_riparia	0.443052
Potentilla_concinna	0.641267
Rubus_banghamii	1.0598
Plagiosiphon_discifer	1.40581
Elatostema_lancifolium	1.50865
Chamaecrista_orenocensis	1.32522
Rubus_betulifolius	0.932508
Rubus_bicknellii	0.678396
Lupinus_rivularis	1.50439
Pultenaea_flexilis	0.930861
Geum_perincisum	0.323538
Hymenostegia_pellegrinii	1.21662
Cicer_oxyodon	0.274122
Platymiscium_trifoliolatum	0.500424
Crotalaria_ringoetii	0.553055
Psorothamnus_spinosus	0.0325148
Vigna_radiata	0.60917
Lupinus_uncinatus	0.650928
Duchesnea_indica	2.45405
Astragalus_hyalinus	0.243939
Coursetia_polyphylla	0.610353
Astragalus_subcinereus	0.389643
Adesmia_volckmannii	0.473789
Austrobryonia_pilbarensis	0.182817
Vicia_narbonensis	0.788963
Astragalus_limnocharis	0.520112
Ficus_stellaris	1.82487
Inga_tenuis	1.11875
Acmispon_grandiflorus	0.516114
Pteromonnina_polygonoides	0.454816
Polygala_arillata	1.10874
Ficus_leptoclada	1.46811
Vicia_caesarea	0.377486
Phaseolus_angustissimus	0.264467
Potentilla_albicans	0.56244
Rhynchosia_amabilis	0.888003
Crotalaria_muenzneri	0.780315
Albizia_salomonensis	0.86115
Rubus_scaberrimus	0.456483
Boehmeria_nakashimae	1.53536
Schnella_outimouta	0.947108
Trifolium_oxyodon	0.135608
Trifolium_subterraneum	0.917985
Ulmus_rubra	0.992895
Cenostigma_nordestinum	0.23655
Cassia_adenophylla	0.372617
Vachellia_caven	0.598965
Quercus_ternaticupula	1.05703
Ficus_glandifera	2.02453
Prunus_alleghaniensis	0.936164
Dalbergia_trichocarpa	0.810027
Desmodium_cuspidatum	1.01707
Malus_fusca	2.56811
Cheniella_clemensiorum	1.04674
Crotalaria_rogersii	0.561823
Trifolium_dasyurum	0.378496
Senegalia_tucumanensis	0.568002
Cotoneaster_langei	0.598428
Sibbaldia_phanerophlebia	0.374082
Flemingia_ineata	0.770338
Momordica_corymbifera	0.249258
Senna_skinneri	0.190839
Elatostema_fagifolium	1.14769
Astragalus_atropilosulus	0.717147
Craibia_affinis	0.648633
Crotalaria_mandrarensis	0.3866
Bauhinia_grevei	0.587153
Sesbania_virgata	0.837159
