Names	Index
Carya_palmeri	183.298
Lysiloma_salvadorensis	0
Bauhinia_cinnamomea	147.231
Acacia_tumida	60.6569
Canavalia_rosea	263.64
Rhamnus_prostrata	200.506
Maillardia_montana	137
Lotus_becquetii	275.222
Acacia_perryi	48.7303
Daviesia_cunderdin	35.2857
Guilfoylia_monostylis	195.433
Lupinus_reitzii	241
Psiguria_racemosa	104.5
Vigna_tenuicaulis	110.4
Ormosia_gracilis	173.5
Myriocarpa_obscura	121
Dalbergia_rufa	115.75
Zornia_milneana	77.8136
Ficus_sagittata	219.174
Geum_pulchrum	124
Senegalia_brevispica	122.144
Parartocarpus_venenosus	241.753
Betula_globispica	315.774
Dussia_discolor	182.111
Crotalaria_burkeana	85
Crotalaria_capuroni	49.5
Rhinotropis_nitida	133.96
Aspalathus_mundiana	127.077
Astragalus_gentryi	153
Urodon_capitatus	34.8636
Aspalathus_cymbiformis	133.484
Aeschynomene_vogelii	117.591
Lespedeza_thomsoni	41
Lupinus_microcarpus	41.5
Plagiosiphon_longitubus	172.2
Quercus_brandisiana	161.333
Chapmannia_sericea	193
Colubrina_faraloatra	180.4
Potentilla_verna	203.133
Humularia_welwitschii	69.3889
Ononis_striata	218.404
Elatostema_laetevirens	322.821
Vicia_freyniana	128.667
Ottleya_mollis	95.5
Potentilla_limprichtii	46.5
Calliandra_concinna	55
Macrotyloma_fimbriatum	83.5625
Pterodon_emarginatus	96.8571
Lachemilla_moritziana	388.182
Astragalus_rhizocephalus	129.667
Acacia_rassos	0
Trifolium_erubescens	129.731
Begonia_arfakensis	184.333
Elatostema_shanglinense	60.5
Crataegus_subpilosa	45
Alysicarpus_rugosus	97.266
Arquita_trichocarpa	119.889
Ziziphus_sarcomphalus	218.778
Vicia_grandiflora	159.486
Sageretia_melliana	120.389
Cordeauxia_edulis	59.5
Muraltia_spicata	98.8571
Taralea_nudipes	81.6667
Lecanthus_peduncularis	384.655
Trema_bracteolata	0
Astragalus_rawianus	0
Rubus_rhodanthus	0
Trifolium_andersonii_subsp_monoense	115.167
Myrica_mildbreadii	175
Pilea_klugii	71
Chamaecrista_anceps	106
Indigofera_pseudo-tinctoria	173.571
Phylica_meyeri	134.917
Baphia_madagascariensis	135.308
Senna_lechriosperma	103.406
Brongniartia_paniculata	0
Quercus_breviloba	65.3333
Neorudolphia_volubilis	232.316
Paliurus_spina-christi	164.978
Frangula_wendtii	165.667
Isoberlinia_scheffleri	145.579
Pseudopiptadenia_contorta	51.5
Celtis_pubescens	105.75
Millettia_klainei	146
Adesmia_candida	62.0588
Crotalaria_saltiana	95.3889
Ulmus_pedunculata	172
Pterogyne_nitens	116.74
Campylotropis_capillipes_subsp_prainii	201
Ficus_ecuadorensis	265.2
Huangtcia_renifolia	0
Vicia_caribaea	0
Inga_bracteifera	176.333
Crotalaria_griseofusca	21.5
Dorstenia_peruviana	178.4
Rosa_helleri	62.5
Bauhinia_conwayi	112
Prunus_webbii	148.261
Cliffortia_robusta	135.583
Cojoba_arborea	214.5
Exostyles_godoyensis	145
Ladeania_lanceolata	98.4846
Perebea_hispidula	268.723
Hoita_macrostachya	121.124
Lupinus_wyethii	135.8
Polygala_carphoides	120.286
Potentilla_smithiana	149.571
Cryptosepalum_tetraphyllum	193.373
Saraca_declinata	0
Anthyllis_dillenii	0
Berlinia_bracteosa	159.087
Pentaphylloides_floribunda	240.871
Bauhinia_longifolia	92.25
Eriosema_burkei	101.775
Acacia_eriopoda	53.1333
Alchemilla_?	155
Kotschya_thymodora	151.524
Lespedeza_thunbergii	262.823
Astragalus_magdalenae	87.3279
Lysiloma_latisiliqua	0
Pueraria_candollei	157.75
Astragalus_berteri	93
Rubus_chloocladus	264.327
Indigofera_squalida	131.688
Cayaponia_triangularis	208.429
Lotus_carpetanus	72.5
Acacia_lycopodifolia	33.5
Muraltia_mutabilis	117.667
Acanthocladus_albicans	118.321
Brachystegia_tamarindoides_subsp_microphylla	107.069
Senna_pallida 	146
Potentilla_leucopolitana	0
Bauhinia_kleiniana	159.5
Chapmannia_prismatica	0
Adesmia_filipes	73.4545
Canavalia_molokaiensis	130.5
Adesmia_pinifolia	155.2
Begonia_loranthoides	177.721
Cotoneaster_ovatus	78.6667
Aganope_thyrsiflora	231.333
Ficus_leiocarpa	143.091
Onobrychis_inermis	235.083
Potentilla_brassii	386.667
Mimosa_pellita	167.333
Campsiandra_velutina	63.5
Genista_anglica	259.787
Rosa_manca	124.429
Crotalaria_novae-hollandiae	59.0711
Adesmia_leiocarpa	148.5
Trifolium_neyrauti	137
Inga_goldmanii	285.165
Ceanothus_thyrsiflorus	150.081
Polygala_galapageia	109.167
Ulmus_minor	268.923
Onobrychis_tournefortii	112
Cryptandra_mutila	101.365
Begonia_edanoi	111.5
Carpinus_austro-sinensis	88.5
Astragalus_orcuttianus	77.9474
Astragalus_helmii	64.5
Begonia_baramensis	267
Senna_wislizeni	35.5
Indigofera_burttii	72.5
Mimosa_onilahensis	83.5833
Stryphnodendron_obovatum	111.231
Millettia_rigens	122.667
Crudia_curtisii	159.4
Astragalus_platysematus	82.3333
Ficus_riedelii	180.25
Cologania_broussonetii	0
Inga_huberi	152.71
Swartzia_pinheiroana	164.667
Acacia_celastrifolia	62.4609
Pilea_urbani	83.5
Heteroflorum_sclerocarpum	197.565
Tephrosia_thurberi	134.63
Astragalus_potosinus	0
Albizzia_occidentalis	73
Betula_schmidtii	279.754
Lachemilla_pringlei	218.267
Swartzia_peruviana	107.286
Rhamnus_pallasii	154.28
Callerya_katinganensis	0
Pseudolmedia_laevis	151.144
Cucumis_leiospermus	114
Acacia_pubifolia	131.772
Cucurbita_okeechobeensis	1385.9
Crotalaria_xanthoclada	180.444
Vachellia_collinsii	259.801
Hovea_lanceolata	145.34
Vachellia_caven	53.5
Lupinus_sierrae-blancae	139.312
Macrolobium_acrothamnos	141.571
Senegalia_mellifera	94.6027
Astragalus_prorifer	91.0494
Sanguisorba_moquiniana	0
Astragalus_orbiculatus	0
Mimosa_waterlotii	171.75
Rosa_puberulenta	31.5
Millettia_semseii	112
Baptisia_megacarpa	76.625
Rubus_acaracis	156.5
Lennea_modesta	223.852
Bauhinia_uruguayensis	153.083
Aspalathus_rigidifolia	108.2
Poiretia_punctata	164.797
Senna_polyphylla	219.409
Acacia_leptoclada	159.052
Phaseolus_vulgaris	205.332
Genista_occidentalis	128
Genista_haensleri	47.5
Xanthophyllum_wrayi	147.2
Laburnum_anagyroides	79.5
Dahlstedtia_pinnata	223.035
Dorstenia_holstii	166.636
Oxytropis_lambertii_var_bigelovii	92.5
Mimosa_quadrivalvis_var_angustata	92.5532
Lonchocarpus_hidalgensis	208.067
Rubus_poliothyrsus	283
Astragalus_brachycentrus	40
Pithecolobium_flexicaule	68.5
Lupinus_peruvianus_var_peruvianus	213.5
Lithocarpus_robinsonii	153.333
Pilea_angulata	261.05
Indigofera_colutea	64.42
Swartzia_jororii	123.327
Ventilago_dichotoma	208.667
Fragaria_moschata	330.207
Rosa_sphaeroidea	0
Prunus_zippeliana	175.69
