Genus,Genus_Nodulation_Status,Type,Legume?,Subfamily
Abarema,Yes,Rhizobial,Yes,Caesalpinioideae
Abrus,Yes,Rhizobial,Yes,Papilionoideae
Acacia,Yes,Rhizobial,Yes,Caesalpinioideae
Acaciella,Unknown,n/a,Yes,Caesalpinioideae
Acmispon,Unknown,n/a,Yes,Papilionoideae
Acosmium,No,n/a,Yes,Papilionoideae
Acrocarpus,Unknown,n/a,Yes,Caesalpinioideae
Adenocarpus,Yes,Rhizobial,Yes,Papilionoideae
Adenodolichos,Yes,Rhizobial,Yes,Papilionoideae
Adenolobus,Unknown,n/a,Yes,Cercidoideae
Adenopodia,Unknown,n/a,Yes,Caesalpinioideae
Adesmia,Yes,Rhizobial,Yes,Papilionoideae
Aenictophyton,Unknown,n/a,Yes,Papilionoideae
Aeschynomene,Yes,Rhizobial,Yes,Papilionoideae
Afgekia,Unknown,n/a,Yes,Papilionoideae
Afrocalliandra,Unknown,n/a,Yes,Caesalpinioideae
Afzelia,No,n/a,Yes,Detarioideae
Aganope,Yes,Rhizobial,Yes,Papilionoideae
Airyantha,Unknown,n/a,Yes,Papilionoideae
Akschindlium,Unknown,n/a,Yes,Papilionoideae
Alantsilodendron,Unknown,n/a,Yes,Caesalpinioideae
Albizia,Yes,Rhizobial,Yes,Caesalpinioideae
Aldina,No,n/a,Yes,Papilionoideae
Alexa,No,n/a,Yes,Papilionoideae
Alhagi,Yes,Rhizobial,Yes,Papilionoideae
Alistilus,Yes,Rhizobial,Yes,Papilionoideae
Almaleea,Yes,Rhizobial,Yes,Papilionoideae
Alysicarpus,Yes,Rhizobial,Yes,Papilionoideae
Amblygonocarpus,No,n/a,Yes,Caesalpinioideae
Amburana,No,n/a,Yes,Papilionoideae
Amherstia,No,n/a,Yes,Detarioideae
Amicia,Unknown,n/a,Yes,Papilionoideae
Ammodendron,Unknown,n/a,Yes,Papilionoideae
Ammopiptanthus,Unknown,n/a,Yes,Papilionoideae
Amorpha,Yes,Rhizobial,Yes,Papilionoideae
Amphicarpaea,Yes,Rhizobial,Yes,Papilionoideae
Amphimas,No,n/a,Yes,Papilionoideae
Amphiodon,Unknown,n/a,Yes,Papilionoideae
