species,dropped_tips
'Acacia_clunies-rossiae','Acacia_clunies-rossiae'
'Acacia_pseudo-eburnea','Acacia_pseudo-eburnea'
'Acaena_novae-zelandiae','Acaena_novae-zelandiae'
'Alnus_ferdinandi-coburgii','Alnus_ferdinandi-coburgii'
'Anthyllis_barba-jovis','Anthyllis_barba-jovis'
'Aspalathus_sceptrum-aureum','Aspalathus_sceptrum-aureum'
'Astragalus_amnis-amissi','Astragalus_amnis-amissi'
'Astragalus_cornu-bovis','Astragalus_cornu-bovis'
'Astragalus_johannis-howellii','Astragalus_johannis-howellii'
'Astragalus_karl-heinzii','Astragalus_karl-heinzii'
'Astragalus_terrae-rubrae','Astragalus_terrae-rubrae'
'Astragalus_yoder-williamsii','Astragalus_yoder-williamsii'
'Ateleia_herbert-smithii','Ateleia_herbert-smithii'
'Bauhinia_pes-caprae','Bauhinia_pes-caprae'
'Bauhinia_rubro-villosa','Bauhinia_rubro-villosa'
'Begonia_bonus-henricus','Begonia_bonus-henricus'
'Begonia_bui-montana','Begonia_bui-montana'
'Begonia_duncan-thomasii','Begonia_duncan-thomasii'
'Begonia_meyeri-johannis','Begonia_meyeri-johannis'
'Begonia_rafael-torresii','Begonia_rafael-torresii'
'Bikinia_le-testui','Bikinia_le-testui'
'Brownea_rosa-de-monte','Brownea_rosa-de-monte'
'Caragana_camilloi-schneideri','Caragana_camilloi-schneideri'
'Cayaponia_austin-smithii','Cayaponia_austin-smithii'
'Crataegus_crus-galli','Crataegus_crus-galli'
'Crataegus_sheila-phippsiae','Crataegus_sheila-phippsiae'
'Crotalaria_chaco-serranensis','Crotalaria_chaco-serranensis'
'Crotalaria_cornu-ammonis','Crotalaria_cornu-ammonis'
'Crotalaria_novae-hollandiae','Crotalaria_novae-hollandiae'
'Dalbergia_palo-escrito','Dalbergia_palo-escrito'
'Derris_albo-rubra','Derris_albo-rubra'
'Didelotia_pauli-sitai','Didelotia_pauli-sitai'
'Ecuadendron_acosta-solisianum','Ecuadendron_acosta-solisianum'
'Erythrina_crista-galli','Erythrina_crista-galli'
'Ficus_albert-smithii','Ficus_albert-smithii'
'Ficus_burtt-davyi','Ficus_burtt-davyi'
'Ficus_donnell-smithii','Ficus_donnell-smithii'
'Ficus_scott-elliotii','Ficus_scott-elliotii'
'Hemsleya_panacis-scandens','Hemsleya_panacis-scandens'
'Humularia_meyeri-johannis','Humularia_meyeri-johannis'
'Indigofera_roseo-caerulea','Indigofera_roseo-caerulea'
'Lecointea_marcano-bertii','Lecointea_marcano-bertii'
'Luetzelburgia_andrade-limae','Luetzelburgia_andrade-limae'
'Lupinus_mariae-josephae','Lupinus_mariae-josephae'
'Lupinus_sierrae-blancae','Lupinus_sierrae-blancae'
'Maniltoa_fortuna-tironis','Maniltoa_fortuna-tironis'
'Medicago_archiducis-nicolai','Medicago_archiducis-nicolai'
'Microsechium_gonzalo-palomae','Microsechium_gonzalo-palomae'
'Millettia_lane-poolei','Millettia_lane-poolei'
'Mimosa_martin-delcampoi','Mimosa_martin-delcampoi'
'Mimosa_per-dusenii','Mimosa_per-dusenii'
'Morella_rivas-martinezii','Morella_rivas-martinezii'
'Mucuna_nova-guineensis','Mucuna_nova-guineensis'
'Onobrychis_caput-galli','Onobrychis_caput-galli'
'Oxytropis_sata-kandaonensis','Oxytropis_sata-kandaonensis'
'Paliurus_spina-christi','Paliurus_spina-christi'
'Pilea_cornuto-cucullata','Pilea_cornuto-cucullata'
'Pilea_sanctae-crucis','Pilea_sanctae-crucis'
'Pithecellobium_unguis-cati','Pithecellobium_unguis-cati'
'Polygala_sancti-georgii','Polygala_sancti-georgii'
'Polylepis_crista-galli','Polylepis_crista-galli'
'Prunus_gazelle-peninsulae','Prunus_gazelle-peninsulae'
'Quercus_cornelius-mulleri','Quercus_cornelius-mulleri'
'Quercus_gulielmi-treleasei','Quercus_gulielmi-treleasei'
'Quercus_john-tuckeri','Quercus_john-tuckeri'
'Rhamnus_ludovici-salvatoris','Rhamnus_ludovici-salvatoris'
'Rubus_flos-amygdalae','Rubus_flos-amygdalae'
'Rubus_henrici-egonis','Rubus_henrici-egonis'
'Rubus_portae-moravicae','Rubus_portae-moravicae'
'Rubus_silvae-bohemicae','Rubus_silvae-bohemicae'
'Schleinitzia_novo-guineensis','Schleinitzia_novo-guineensis'
'Senegalia_montis-usti','Senegalia_montis-usti'
'Sindoropsis_le-testui','Sindoropsis_le-testui'
'Sorbus_semi-incisa','Sorbus_semi-incisa'
'Trigonella_foenum-graecum','Trigonella_foenum-graecum'
'Vachellia_insulae-iacobi','Vachellia_insulae-iacobi'
'Vicia_pseudo-orobus','Vicia_pseudo-orobus'
'Ziziphus_spina-christi','Ziziphus_spina-christi'
Abrus_pulchellus_subsp_cantoniensis,Abrus_pulchellus_subsp_cantoniensis
Abrus_pulchellus_subsp_mollis,Abrus_pulchellus_subsp_mollis
Acacia_abbatiana,Acacia_abbatiana
Acacia_angusta,Acacia_angusta
Acacia_areolata,Acacia_areolata
Acacia_atrox,Acacia_atrox
Acacia_aureocrinita,Acacia_aureocrinita
Acacia_auricoma,Acacia_auricoma
Acacia_blaxellii,Acacia_blaxellii
Acacia_celsa,Acacia_celsa
Acacia_chalkeri,Acacia_chalkeri
Acacia_colei,Acacia_colei
Acacia_coriacea_subsp_sericophylla,Acacia_coriacea_subsp_sericophylla
Acacia_costiniana,Acacia_costiniana
Acacia_curvinervia,Acacia_curvinervia
Acacia_difformis,Acacia_difformis
Acacia_dilatata,Acacia_dilatata
Acacia_disparrima,Acacia_disparrima
Acacia_doratoxylon,Acacia_doratoxylon
