"","species","temperature","bio3","bio4","precipitation","bio15","bio17","elevation","nitrogen","carbon","ph","sand","coarsefragment","needleleaf","deciduousbroadleaf","herbaceous","aridity","nodulation","nodulationtype","subfamily"
"1","Abarema_adenophora",174.333,57,247.333,1960.33,20.3333,304.667,61.3333,87,25.6667,28.3333,29.6667,0,0,0,0,1.16591,"Yes","Rhizobial","Caesalpinioideae"
"2","Abarema_alexandri",194.375,60.875,843.375,1765.38,41.5,195.875,497.75,194.75,48.25,48.625,23.625,6.125,0,1.125,0,1.36269,"Yes","Rhizobial","Caesalpinioideae"
"3","Abarema_asplenifolia",168,43.3333,1249,854,42,58,81.6667,264.333,43.6667,41,23.6667,6,0,2.33333,0,0.548232,"Yes","Rhizobial","Caesalpinioideae"
"4","Abarema_auriculata",260.132,77.7368,508.026,2453.82,34.3684,332.184,100.474,117.765,49.7632,43.7105,44.0526,1.94737,0,0,0.5,1.48036,"Yes","Rhizobial","Caesalpinioideae"
"5","Abarema_barbouriana",245.218,81.7436,495.263,3117.99,42.359,377.186,509.558,214.076,66.2244,48.7821,43.8654,8.87821,0.0833333,0.442308,2.37821,1.84435,"Yes","Rhizobial","Caesalpinioideae"
"6","Abarema_brachystachya",212.369,55.0615,2239.29,1743.29,49.1846,199.385,256.385,81,45.6761,51.8169,51.4648,3.63889,0,5.06944,1.33333,0.825226,"Yes","Rhizobial","Caesalpinioideae"
"7","Abarema_callejasii",189.714,75.7143,403.571,3257.36,37.1429,377.786,1347.86,327.2,69.7143,47.4286,36.2143,7.78571,0,0,4.92857,1.81073,"Yes","Rhizobial","Caesalpinioideae"
"8","Abarema_campestris",249.217,73.7826,491.522,2082,59.4348,144.304,87.7391,110.75,31.3043,45.1739,45.5217,3.21739,0,0.434783,0.913043,1.13126,"Yes","Rhizobial","Caesalpinioideae"
"9","Abarema_cochleata",262.63,81.163,454.772,2171.08,66.087,136.283,78.0761,140.747,32.8696,47.6413,47.6739,2.32609,0,0.311828,1.80645,1.3619,"Yes","Rhizobial","Caesalpinioideae"
"10","Abarema_commutata",177,60,462.5,1633.25,47,147,442.25,112.5,27.25,36,32.5,8.25,0,0,0,0.938287,"Yes","Rhizobial","Caesalpinioideae"
"11","Abarema_curvicarpa",243,73.8947,480.421,2348.11,42.6842,251.158,168.368,187.1,36.3684,44.4211,41.2105,5.84211,0,0,0,1.52275,"Yes","Rhizobial","Caesalpinioideae"
