Genus,Genus_Nodulation_Status,Type,Legume?,Subfamily,Subanalysis
Abarema,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Acacia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Acaciella,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Acrocarpus,No,n/a,Yes,Caesalpinioideae,other_Cae
Adenopodia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Afrocalliandra,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Alantsilodendron,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Albizia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Amblygonocarpus,No,n/a,Yes,Caesalpinioideae,Mimosoid
Anadenanthera,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Arapatiella,No,n/a,Yes,Caesalpinioideae,other_Cae
Archidendron,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Archidendropsis,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Arcoa,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Arquita,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Aubrevillea,No,n/a,Yes,Caesalpinioideae,Mimosoid
Balizia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Balsamocarpon,No,n/a,Yes,Caesalpinioideae,other_Cae
Batesia,No,n/a,Yes,Caesalpinioideae,other_Cae
Biancaea,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Blanchetiodendron,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Burkea,No,n/a,Yes,Caesalpinioideae,other_Cae
Bussea,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Caesalpinia,No,n/a,Yes,Caesalpinioideae,other_Cae
Calliandra,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Calliandropsis,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Calpocalyx,No,n/a,Yes,Caesalpinioideae,Mimosoid
Campsiandra,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Cassia,No,n/a,Yes,Caesalpinioideae,other_Cae
Cathormion,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Cedrelinga,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Cenostigma,No,n/a,Yes,Caesalpinioideae,other_Cae
Ceratonia,No,n/a,Yes,Caesalpinioideae,other_Cae
Chamaecrista,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Chidlowia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Chloroleucon,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Cojoba,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Colvillea,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Conzattia,No,n/a,Yes,Caesalpinioideae,other_Cae
Cordeauxia,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Coulteria,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Cylicodiscus,No,n/a,Yes,Caesalpinioideae,Mimosoid
Delonix,No,n/a,Yes,Caesalpinioideae,other_Cae
Denisophytum,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Desmanthus,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Dichrostachys,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Dimorphandra,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Dinizia,No,n/a,Yes,Caesalpinioideae,other_Cae
Diptychandra,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Ebenopsis,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Elephantorrhiza,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Entada,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Enterolobium,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Erythrophleum,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Erythrostemon,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Faidherbia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Falcataria,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Fillaeopsis,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Gagnebina,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Gelrebia,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Gleditsia,No,n/a,Yes,Caesalpinioideae,other_Cae
Guilandina,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Gymnocladus,No,n/a,Yes,Caesalpinioideae,other_Cae
Haematoxylum,No,n/a,Yes,Caesalpinioideae,other_Cae
Havardia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Heteroflorum,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Hoffmannseggia,No,n/a,Yes,Caesalpinioideae,other_Cae
Hydrochorea,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Indopiptadenia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Inga,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Jacqueshuberia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Kanaloa,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Lachesiodendron,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Lemurodendron,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Leucaena,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Leucochloron,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Libidibia,No,n/a,Yes,Caesalpinioideae,other_Cae
Lophocarpinia,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Lysiloma,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Macrosamanea,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Mariosousa,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Melanoxylon,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Mezoneuron,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Microlobius,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Mimosa,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Mimozyganthus,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Moldenhawera,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Mora,No,n/a,Yes,Caesalpinioideae,other_Cae
Moullava,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Neptunia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Newtonia,No,n/a,Yes,Caesalpinioideae,other_Cae
Pachyelasma,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Painteria,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Parapiptadenia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Pararchidendron,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Parasenegalia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Paraserianthes,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Parkia,No,n/a,Yes,Caesalpinioideae,other_Cae
Parkinsonia,No,n/a,Yes,Caesalpinioideae,other_Cae
Paubrasilia,No,n/a,Yes,Caesalpinioideae,other_Cae
Peltophorum,No,n/a,Yes,Caesalpinioideae,Mimosoid
Pentaclethra,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Piptadenia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Piptadeniastrum,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Piptadeniopsis,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Pithecellobium,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Pityrocarpa,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Plathymenia,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Pomaria,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Prosopidastrum,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Prosopis,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Pseudopiptadenia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Pseudoprosopis,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Pseudosamanea,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Pterogyne,No,n/a,Yes,Caesalpinioideae,other_Cae
Pterolobium,No,n/a,Yes,Caesalpinioideae,other_Cae
Recordoxylon,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Samanea,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Schizolobium,No,n/a,Yes,Caesalpinioideae,Mimosoid
Schleinitzia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Senegalia,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Senna,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Serianthes,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Stachyothyrsus,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Stenodrepanum,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Stryphnodendron,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Stuhlmannia,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Sympetalandra,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Tachigali,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Tara,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Tetrapleura,No,n/a,Yes,Caesalpinioideae,other_Cae
Tetrapterocarpon,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Thailentadopsis,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Umtiza,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Vachellia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Viguieranthus,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Vouacapoua,No,n/a,Yes,Caesalpinioideae,Mimosoid
Wallaceodendron,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Xerocladia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Xylia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Zapoteca,No,n/a,Yes,Caesalpinioideae,other_Cae
Zuccagnia,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Zygia,Yes,Rhizobial,Yes,Caesalpinioideae,Cercidoideae
Adenolobus,No,n/a,Yes,Cercidoideae,Cercidoideae
Barklya,No,n/a,Yes,Cercidoideae,Cercidoideae
Bauhinia,No,n/a,Yes,Cercidoideae,Cercidoideae
