"","rows","linear"
"1","aridity",20018.5282228555
"2","bio15",132959.040254874
"3","bio17",174279.067895282
"4","bio3",123009.601502458
"5","bio4",268074.368652243
"6","carbon",128763.839307057
"7","coarsefragment",91510.5628133862
"8","deciduousbroadleaf",92298.5562656522
"9","elevation",228493.628987559
"10","herbaceous",105061.781702535
"11","needleleaf",100733.877512211
"12","nitrogen",169043.66053362
"13","ph",109723.268974313
"14","precipitation",228393.112098322
"15","sand",113547.143970597
"16","temperature",161543.643542086
